location,initial_deploy,sept_jan_2022
01M01_1,21064675,21064675
01M02_1,21044179,21044179
01M03_1,21064685,21064685
01M05_1,21044159,21044159
01M06_1,20946478,20946478
02M01_1,21064686,21064686
02M02_1,21044175,21044175
02M03_1,21064696,21064696
02M04_1,21044156,21044156
02M05_1,20946486,20946486
02M06_1,20946497,20946497
02M07_1,21064682,21064682
02M08_1,21064699,21064699
02M09_1,21064680,21064680
02M10_1,21064681,21064681
02M11_1,20946496,20946496
04M01_1,21044173,21044173
04M03_1,21044158,21044158
04M04_1,21064690,21064690
04M05_1,21064694,21064694
04M06_1,20946483,20946483
04M07_1,21044160,21044160
04M08_1,20946498,20946498
04M09_1,20946487,20946487
04M10_1,20946490,20946490
04M11_1,20946476,20946476
04M12_1,20946494,20946494
04M13_1,21064684,21064684
04T02_1,20946481,20946481
04W01_1,20946489,20946489
04W02_1,21064676,21064676
04W04_1,20946492,20946492
20M01_1,21064689,21064689
20M02_1,21044168,21044168
20M03_1,21064678,21064678
20M04_1,20946479,20946479
20M05_1,21044164,21044164
SFM01_1,21064691,21064691
SFM02_1,21044163,21044163
SFM03_1,20946491,21064677
SFM04_1,20946500,20946500
SFM05_1,21044162,21044162
SFM06_1,20946488,20946488
SFM07_1,20946480,20946480
SFT01_1,20946477,20946477
SFT02_1,21064687,21064687
01M03_2,21044174,21044174
01M04_2,21044170,21044170
02M01_2,21044171,21044171
02M06_2,20821662,20821662
02M10_2,20946485,20946485
04M01_2,21064695,21064695
04M02_2,21044155,21044155
04M06_2,21044177,21044177
04M08_2,21064683,21064683
04M09_2,21044167,21044167
04T01_2,20946495,20946493
04T02_2,21064688,21064688
04W02_2,21064697,21064697
04W04_2,21064693,21064693
20M04_2,21044166,21044166
20M05_2,21044178,21044178
SFM01_2,20821659,20821659
SFM02_2,20946484,20946484
SFM03_2,20946482,20946482
SFM05_2,20821654,20821654
SFT02_2,21064698,21064692
